	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
136.00000	79.13064	00.00000	62.93064	00.00000	93.93064	00.00000	43.53064	00.00000	49.73064	00.00000	90.93064	00.00000	86.53064	00.00000
137.00000	79.12238	00.00000	62.92238	00.00000	93.92238	00.00000	43.52238	00.00000	49.72238	00.00000	90.92238	00.00000	86.52238	00.00000
138.00000	79.11412	00.00000	62.91412	00.00000	93.91412	00.00000	43.51412	00.00000	49.71412	00.00000	90.91412	00.00000	86.51412	00.00000
139.00000	79.10586	00.00000	62.90586	00.00000	93.90586	00.00000	43.50586	00.00000	49.70586	00.00000	90.90586	00.00000	86.50586	00.00000
140.00000	79.09760	00.00000	62.89760	00.00000	93.89760	00.00000	43.49760	00.00000	49.69760	00.00000	90.89760	00.00000	86.49760	00.00000
141.00000	79.08934	00.00000	62.88934	00.00000	93.88934	00.00000	43.48934	00.00000	49.68934	00.00000	90.88934	00.00000	86.48934	00.00000
142.00000	79.08108	00.00000	62.88108	00.00000	93.88108	00.00000	43.48108	00.00000	49.68108	00.00000	90.88108	00.00000	86.48108	00.00000
143.00000	79.07282	00.00000	62.87282	00.00000	93.87282	00.00000	43.47282	00.00000	49.67282	00.00000	90.87282	00.00000	86.47282	00.00000
144.00000	79.06456	00.00000	62.86456	00.00000	93.86456	00.00000	43.46456	00.00000	49.66456	00.00000	90.86456	00.00000	86.46456	00.00000
145.00000	79.05630	00.00000	62.85630	00.00000	93.85630	00.00000	43.45630	00.00000	49.65630	00.00000	90.85630	00.00000	86.45630	00.00000
146.00000	79.04804	00.00000	62.84804	00.00000	93.84804	00.00000	43.44804	00.00000	49.64804	00.00000	90.84804	00.00000	86.44804	00.00000
147.00000	79.03978	00.00000	62.83978	00.00000	93.83978	00.00000	43.43978	00.00000	49.63978	00.00000	90.83978	00.00000	86.43978	00.00000
148.00000	79.03152	00.00000	62.83152	00.00000	93.83152	00.00000	43.43152	00.00000	49.63152	00.00000	90.83152	00.00000	86.43152	00.00000
